PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024888,75082338,PALL MALL 125 A?OS CASE MIAMI 20 PZ,20 Mexico,800 Yucatan,M800,C80001,2161,KANASIN,0,0,0.14,9.61,9.61,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M204,C20406,1092,El Olivo,0,0,0.11,7.2,7.2,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M203,C20302,828,Cardiologia,0,0,0.11,7.2,7.2,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M205,C20503,1425,Tlalpan Y Victor Hugo,0,0,0.32,21.68,21.68,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,800 Yucatan,M800,C80003,2921,GRAN REAL,0,0,0.14,9.61,9.61,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M201,C20102,467,W.T.C.,0,0,0.04,2.4,2.4,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M202,C20204,1951,CARRETERA MEXICO-TEXCOCO,0,0,0.11,7.2,7.2,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M200,C20003,746,Torre Palmas,0,0,0.14,9.61,9.61,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M203,C20305,2511,SAN LORENZO TEPEPAN,0,0,0.11,7.2,7.2,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025445,75083977,PALL MALL MIAMI STRESS RELIEVER 20 PZ,20 Mexico,800 Yucatan,M800,C80005,2728,ALDEA TULUM,0,0,0.25,17.18,17.18,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025283,75083885,PALL MALL HAWAII SUNLIGHT STRESS RELIEVER 15 PZ,20 Mexico,800 Yucatan,M800,C80001,2161,KANASIN,0,0,0.07,3.69,3.69,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100018745,75073541,PALL MALL EX WHITE 15 1 CAJETILLA,20 Mexico,200 Mexico,M203,C20304,1410,Acanceh,0,0,0.11,4.99,4.99,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100023426,75079956,LUCKY STRIKE ORIGINAL RED 20 PZ,20 Mexico,200 Mexico,M205,C20504,3120,POPOCATEPETL,0,0,0.04,2.19,2.19,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100023426,75079956,LUCKY STRIKE ORIGINAL RED 20 PZ,20 Mexico,200 Mexico,M205,C20506,2187,JUVENTINO ROSAS II,0,0,0.11,6.56,6.56,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100024998,7.31125E+12,ZYN SPEARMINT 6MG STRONG CAJETILLA PZ,20 Mexico,800 Yucatan,M800,C80004,3128,ATHIMAR,0,0,0.36,22.48,22.48,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025448,75083922,PALL MALL ALASKA STRESS RELIEVER 15 PZ,20 Mexico,200 Mexico,M201,C20101,1680,Puerta Condesa,0,0,0.07,3.69,3.69,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025448,75083922,PALL MALL ALASKA STRESS RELIEVER 15 PZ,20 Mexico,200 Mexico,M205,C20502,1253,Ermita Y Sur 89,0,0,0.04,1.85,1.85,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025448,75083922,PALL MALL ALASKA STRESS RELIEVER 15 PZ,20 Mexico,200 Mexico,M204,C20403,13,Santa Monica,0,0,0.07,3.69,3.69,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025448,75083922,PALL MALL ALASKA STRESS RELIEVER 15 PZ,20 Mexico,720 Morelos,M720,C72001,2281,PALMIRA,0,0,0.04,1.85,1.85,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025448,75083922,PALL MALL ALASKA STRESS RELIEVER 15 PZ,20 Mexico,200 Mexico,M203,C20302,1477,Tlalpan esq. Periferico,0,0,0.21,11.08,11.08,DESABASTO
21864 ARTICUN DISTRIBUIDORA S.A. DE C.V.,008 Cigarros,100080945,7.50224E+12,GOLD SOFT PURO PZ,20 Mexico,890 Quintana Roo,M890,C89004,2567,BOULEVARD KUKULCAN,0,0,0.04,5.48,5.48,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100080034,75001476,DELICADOS CIGARR OVALADOS CAJET,20 Mexico,200 Mexico,M200,C20004,517,Homero,0,0,0.36,21.55,21.55,DESABASTO
"2216 NUEVA DISTABAC, S.A. DE C.V.",008 Cigarros,100024599,7.50161E+12,PURO MATACAN ROBUSTO IND,20 Mexico,200 Mexico,M201,C20103,2613,CUMBRES DE MALTRATA ESQ LUZ SAVI?ON,0,0,0.07,5.23,5.23,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100013892,75064754,MONTANA SHOTS 1PZ,20 Mexico,200 Mexico,M203,C20302,853,Puente Azteca,0,0,1.54,103.26,103.26,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100015341,75070090,PALL MALL MIX PACK 20,20 Mexico,200 Mexico,M204,C20401,239,Lomas de Sotelo,0,0,0.21,14.41,14.41,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100022233,75076412,PALL MALL LONDON 20S 1 CAJETILLA,20 Mexico,720 Morelos,M720,C72002,2127,DIANA ESQUINA GALATEA,0,0,0.04,2.4,2.4,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100022233,75076412,PALL MALL LONDON 20S 1 CAJETILLA,20 Mexico,720 Morelos,M720,C72002,2219,MESALINA,0,0,0.07,4.86,4.86,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024887,75082307,PALL MALL 125 A?OS CASE HAWAII 20 PZ,20 Mexico,800 Yucatan,M800,C80002,2760,FLORESTA,0,0,0.04,2.46,2.46,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100080850,75035259,MARLBORO CIGARR GOLD 100S CAJET,20 Mexico,800 Yucatan,M800,C80004,2570,CASA MEXICANA,0,0,1.04,84.14,84.14,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100080850,75035259,MARLBORO CIGARR GOLD 100S CAJET,20 Mexico,890 Quintana Roo,M890,C89001,2612,GRAN SANTA FE III,0,0,0.71,54.25,54.25,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100014868,75068769,MARLBORO VELVET 100 BOX 20 1 CAJETILLA,20 Mexico,890 Quintana Roo,M890,C89001,2827,MEXICO,0,0,0.64,48.89,48.89,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080896,40331362,WINSTON CIGARR CLASSIC  14S CAJET,20 Mexico,200 Mexico,M204,C20403,110,Cientificos,0,0,0.04,1.69,1.69,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100023424,75079895,LUCKY STRIKE ORIGINS BRIGHT 20 PZ,20 Mexico,200 Mexico,M200,C20001,3174,ENTTORNO,0,0,0.04,2.62,2.62,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100014187,75068363,PALL MALL NEW YORK 20,20 Mexico,200 Mexico,M200,C20001,1743,Vasco de Quiroga esq Mario Pani,0,0,0.46,31.4,31.4,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100004788,75051785,LUCKY STRIKE CLICK 4 MIX,20 Mexico,200 Mexico,M205,C20506,2187,JUVENTINO ROSAS II,0,0,0.14,10.47,10.47,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080897,42138037,WINSTON CIGARR CLASSIC 20S CAJET,20 Mexico,800 Yucatan,M800,C80002,2761,MANERE,0,0,0.25,14.22,14.22,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080897,42138037,WINSTON CIGARR CLASSIC 20S CAJET,20 Mexico,200 Mexico,M203,C20303,1961,CENTRO SAN ANGEL,0,0,0.18,10.16,10.16,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080897,42138037,WINSTON CIGARR CLASSIC 20S CAJET,20 Mexico,200 Mexico,M204,C20401,2894,NOPALA,0,0,0.61,34.54,34.54,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025444,75083953,PALL MALL TOKYO STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M205,C20503,1224,Ermita Y Sur 69,0,0,0.04,2.4,2.4,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025444,75083953,PALL MALL TOKYO STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M200,C20001,1256,Santa Fe Y Cruz Manca,0,0,0.07,4.86,4.86,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025444,75083953,PALL MALL TOKYO STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M204,C20407,2241,NORTE 45,0,0,0.14,9.73,9.73,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025444,75083953,PALL MALL TOKYO STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M201,C20102,1170,Insurgentes Esq Georgia,0,0,0.04,2.4,2.4,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025444,75083953,PALL MALL TOKYO STRESS RELIEVER 20 PZ,20 Mexico,200 Mexico,M205,C20504,2689,YACATAS,0,0,0.18,12.01,12.01,DESABASTO
"2216 NUEVA DISTABAC, S.A. DE C.V.",008 Cigarros,100080381,7.50161E+12,MATACAN PURO NO.7 CAJET,20 Mexico,200 Mexico,M205,C20504,2668,DIAGONAL ESQ PITAGORAS,0,0,0.04,1.69,1.69,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025296,7.50304E+12,VELO STRAWBERRY ICE 8 MG 20 PZ,20 Mexico,890 Quintana Roo,M890,C89004,2172,ISLA MUJERES,0,0,0.57,28.63,28.63,DESABASTO
