PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025844,75084172,PALL MALL MYKONOS ROADTRIP CAN 20 PZ,20 Mexico,200 Mexico,M203,C20301,896,Miguel Nore?a,0,0,0.11,7.39,7.39,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025296,7.50E+12,VELO STRAWBERRY ICE 8 MG 20 PZ,20 Mexico,200 Mexico,M202,C20203,568,Col.Juarez,0,0,0.14,10.47,10.47,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025297,7.50E+12,VELO GREEN SPEARMINT 8 MG 20 PZ,20 Mexico,200 Mexico,M204,C20405,1057,1057 Amado Nervo y Corredor Ferroviario,0,0,0.07,5.23,5.23,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100019234,75074975,PALL MALL XL ALASKA 15S 1 CAJETILLA,20 Mexico,890 Quintana Roo,M940,C94002,2268,BAHIA PRINCIPE,0,0,1.21,70.14,70.14,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100020970,75076405,MONTANA CLASSI 14S 1 CAJETILLA,20 Mexico,200 Mexico,M204,C20407,108,Irapuato,1,33.62,2.39,80.45,46.83,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100024399,7.31E+12,ZYN COOL MINT MINI STRONG UNIDAD PZ,20 Mexico,200 Mexico,M204,C20402,2929,LA ANTIGUA,0,0,0.32,18.01,18.01,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080896,40331362,WINSTON CIGARR CLASSIC  14S CAJET,20 Mexico,200 Mexico,M200,C20007,1725,San Mateo Atenco,0,0,0.04,1.69,1.69,DESABASTO
21864 ARTICUN DISTRIBUIDORA S.A. DE C.V.,008 Cigarros,100014779,7.50E+12,"ARTIGAS/CARL PURO MIX ROBUSTO SABOR  50GR					",20 Mexico,890 Quintana Roo,M890,C89002,2553,CENTRALIA CANCUN,0,0,0.04,3.02,3.02,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025298,7.50E+12,VELO POLAR PEPPERMINT 8 MG 20 PZ,20 Mexico,200 Mexico,M201,C20101,719,Tepic,0,0,0.14,10.47,10.47,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080897,42138037,WINSTON CIGARR CLASSIC 20S CAJET,20 Mexico,200 Mexico,M200,C20001,2079,LAS TINAJAS,0,0,0.04,2.03,2.03,DESABASTO
